epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.899,0.71419,2.27683,1.30237,0.42709,0.41677,0.38736,0.25723,1.37438,2.07005,1.79288,0.000333149,0.000333149,0.000333149
2,349.774,0.64473,1.66796,1.24967,0.48626,0.4183,0.40175,0.27433,1.36355,2.04869,1.78835,0.000644488,0.000644488,0.000644488
3,518.288,0.62006,1.5426,1.22863,0.55955,0.4254,0.45835,0.303,1.38456,2.03827,1.64848,0.000933828,0.000933828,0.000933828
4,682.371,0.58788,1.44785,1.20621,0.52346,0.45563,0.4583,0.30345,1.31646,1.84117,1.63553,0.000901,0.000901,0.000901
5,851.605,0.54624,1.35995,1.17908,0.69797,0.46386,0.55869,0.39625,1.27331,1.61268,1.54862,0.000868,0.000868,0.000868
6,1014.33,0.52902,1.29191,1.16397,0.55468,0.5696,0.57895,0.40661,1.20851,1.60028,1.53348,0.000835,0.000835,0.000835
7,1179.37,0.49954,1.23737,1.14211,0.6974,0.52846,0.62171,0.45358,1.12922,1.48888,1.43076,0.000802,0.000802,0.000802
8,1341.78,0.48403,1.19175,1.12966,0.6849,0.58953,0.6583,0.46746,1.14732,1.41678,1.43531,0.000769,0.000769,0.000769
9,1503.11,0.46822,1.146,1.12244,0.73107,0.5722,0.66324,0.48411,1.1039,1.40996,1.37565,0.000736,0.000736,0.000736
10,1664.06,0.45444,1.10962,1.1114,0.73097,0.61598,0.69878,0.51721,1.0781,1.34087,1.34699,0.000703,0.000703,0.000703
11,1825.46,0.44116,1.07353,1.10202,0.80535,0.62346,0.71619,0.52355,1.08091,1.31588,1.35301,0.00067,0.00067,0.00067
12,1983.15,0.43572,1.04618,1.10222,0.78782,0.62881,0.72377,0.53012,1.11018,1.29391,1.34331,0.000637,0.000637,0.000637
13,2148.63,0.42426,1.02376,1.09322,0.78646,0.63055,0.72716,0.53165,1.05692,1.23774,1.32484,0.000604,0.000604,0.000604
14,2313.16,0.41374,0.99002,1.08242,0.78021,0.6437,0.73362,0.53758,1.03385,1.20487,1.30707,0.000571,0.000571,0.000571
15,2474.62,0.40941,0.96415,1.07797,0.80955,0.65616,0.7633,0.56615,1.01185,1.17692,1.26186,0.000538,0.000538,0.000538
16,2634.94,0.40498,0.95625,1.0777,0.76669,0.69714,0.76643,0.58035,1.017,1.16333,1.27989,0.000505,0.000505,0.000505
17,2795.92,0.39408,0.92286,1.06762,0.80008,0.65795,0.76286,0.57159,1.01356,1.15076,1.2543,0.000472,0.000472,0.000472
18,2953.79,0.39229,0.90532,1.06455,0.83798,0.69099,0.80432,0.60865,0.97461,1.07224,1.2161,0.000439,0.000439,0.000439
19,3115.48,0.38049,0.87817,1.06141,0.79643,0.72963,0.80234,0.61238,0.98908,1.05831,1.24335,0.000406,0.000406,0.000406
20,3276.18,0.37509,0.86034,1.05528,0.80517,0.73325,0.81399,0.62534,0.98527,1.05378,1.22805,0.000373,0.000373,0.000373
21,3435.77,0.42553,0.72343,1.10145,0.83303,0.70174,0.80655,0.6276,0.96733,1.04356,1.22083,0.00034,0.00034,0.00034
22,3592.11,0.41303,0.67604,1.08826,0.80338,0.74501,0.81769,0.6388,0.94866,1.01645,1.20835,0.000307,0.000307,0.000307
23,3750.06,0.39739,0.63931,1.07402,0.80782,0.76399,0.82918,0.6476,0.94021,0.98566,1.18506,0.000274,0.000274,0.000274
24,3910.06,0.38938,0.61061,1.06552,0.86493,0.72368,0.82478,0.6481,0.93739,0.96835,1.19752,0.000241,0.000241,0.000241
25,4069.91,0.37889,0.58288,1.05701,0.84795,0.72615,0.82072,0.64634,0.92338,0.97104,1.1724,0.000208,0.000208,0.000208
26,4230.75,0.36861,0.56831,1.04486,0.809,0.76785,0.83081,0.65774,0.91161,0.95894,1.16464,0.000175,0.000175,0.000175
27,4386.54,0.35835,0.5331,1.03818,0.8585,0.74,0.8352,0.66464,0.90983,0.94009,1.15865,0.000142,0.000142,0.000142
28,4545.66,0.35534,0.52099,1.0325,0.85799,0.75764,0.83971,0.67268,0.89629,0.92376,1.14824,0.000109,0.000109,0.000109
29,4705.01,0.34653,0.50211,1.02674,0.85219,0.76351,0.84382,0.67654,0.89035,0.91526,1.13353,7.6e-05,7.6e-05,7.6e-05
30,4867.56,0.33916,0.47368,1.02138,0.84474,0.76882,0.84612,0.67646,0.89295,0.91058,1.13694,4.3e-05,4.3e-05,4.3e-05
